pair_id,src_ip,dst_ip,n_observations,dominant_period_s,acf_peak,acf_peak_lag,iat_cv,fft_period_s,fft_power_ratio,is_periodic,beacon_confidence,is_beacon_pair
10.0.1.76→52.221.39.114,10.0.1.76,52.221.39.114,13,0.0,0.0,0,0.8386,0.0,0.0,False,0.0,False
10.0.1.76→52.240.188.130,10.0.1.76,52.240.188.130,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.76→52.244.114.127,10.0.1.76,52.244.114.127,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.76→52.253.119.40,10.0.1.76,52.253.119.40,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.76→52.31.1.167,10.0.1.76,52.31.1.167,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.76→52.36.7.21,10.0.1.76,52.36.7.21,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.76→52.43.87.64,10.0.1.76,52.43.87.64,11,0.0,0.0,0,0.854,0.0,0.0,False,0.0,False
10.0.1.76→52.57.181.115,10.0.1.76,52.57.181.115,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.146.179.54,10.0.1.77,52.146.179.54,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.160.85.188,10.0.1.77,52.160.85.188,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.216.227.179,10.0.1.77,52.216.227.179,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.250.188.94,10.0.1.77,52.250.188.94,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.57.86.157,10.0.1.77,52.57.86.157,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.71.2.187,10.0.1.77,52.71.2.187,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.74.193.127,10.0.1.77,52.74.193.127,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.77→52.94.90.56,10.0.1.77,52.94.90.56,13,0.0,0.0,0,0.7035,0.0,0.0,False,0.0,False
10.0.1.78→52.0.254.206,10.0.1.78,52.0.254.206,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.118.29.124,10.0.1.78,52.118.29.124,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.13.106.232,10.0.1.78,52.13.106.232,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.138.139.18,10.0.1.78,52.138.139.18,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.154.209.186,10.0.1.78,52.154.209.186,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.159.90.10,10.0.1.78,52.159.90.10,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.180.116.96,10.0.1.78,52.180.116.96,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.185.82.221,10.0.1.78,52.185.82.221,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.200.13.94,10.0.1.78,52.200.13.94,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.204.28.79,10.0.1.78,52.204.28.79,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.233.3.152,10.0.1.78,52.233.3.152,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.30.169.56,10.0.1.78,52.30.169.56,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.43.87.64,10.0.1.78,52.43.87.64,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.67.176.79,10.0.1.78,52.67.176.79,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.78→52.81.60.195,10.0.1.78,52.81.60.195,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.79→52.146.84.103,10.0.1.79,52.146.84.103,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.79→52.228.185.53,10.0.1.79,52.228.185.53,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.79→52.241.123.10,10.0.1.79,52.241.123.10,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.79→52.32.188.192,10.0.1.79,52.32.188.192,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.79→52.43.33.26,10.0.1.79,52.43.33.26,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.79→52.44.85.247,10.0.1.79,52.44.85.247,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.153.75.156,10.0.1.8,52.153.75.156,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.156.105.203,10.0.1.8,52.156.105.203,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.159.83.2,10.0.1.8,52.159.83.2,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.172.189.147,10.0.1.8,52.172.189.147,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.190.26.88,10.0.1.8,52.190.26.88,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.21.223.241,10.0.1.8,52.21.223.241,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.21.247.25,10.0.1.8,52.21.247.25,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.233.49.105,10.0.1.8,52.233.49.105,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.30.193.176,10.0.1.8,52.30.193.176,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.8→52.94.90.56,10.0.1.8,52.94.90.56,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.80→52.1.72.72,10.0.1.80,52.1.72.72,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.80→52.124.197.123,10.0.1.80,52.124.197.123,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.80→52.214.107.150,10.0.1.80,52.214.107.150,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.80→52.57.181.115,10.0.1.80,52.57.181.115,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.80→52.74.193.127,10.0.1.80,52.74.193.127,11,0.0,0.0,0,0.7962,0.0,0.0,False,0.0,False
10.0.1.81→52.154.51.29,10.0.1.81,52.154.51.29,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.159.83.2,10.0.1.81,52.159.83.2,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.164.235.44,10.0.1.81,52.164.235.44,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.21.247.25,10.0.1.81,52.21.247.25,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.222.87.127,10.0.1.81,52.222.87.127,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.241.123.10,10.0.1.81,52.241.123.10,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.81.56.180,10.0.1.81,52.81.56.180,11,0.0,0.0,0,0.678,0.0,0.0,False,0.0,False
10.0.1.81→52.87.90.12,10.0.1.81,52.87.90.12,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.81→52.94.90.56,10.0.1.81,52.94.90.56,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.82→52.0.241.24,10.0.1.82,52.0.241.24,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.82→52.169.198.16,10.0.1.82,52.169.198.16,11,0.0,0.0,0,0.8536,0.0,0.0,False,0.0,False
10.0.1.82→52.220.176.136,10.0.1.82,52.220.176.136,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.82→52.32.188.192,10.0.1.82,52.32.188.192,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.82→52.62.117.113,10.0.1.82,52.62.117.113,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.82→52.83.248.181,10.0.1.82,52.83.248.181,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.1.72.72,10.0.1.83,52.1.72.72,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.21.223.241,10.0.1.83,52.21.223.241,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.224.115.122,10.0.1.83,52.224.115.122,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.39.184.95,10.0.1.83,52.39.184.95,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.59.192.87,10.0.1.83,52.59.192.87,11,0.0,0.0,0,1.0167,0.0,0.0,False,0.0,False
10.0.1.83→52.64.101.90,10.0.1.83,52.64.101.90,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.73.224.227,10.0.1.83,52.73.224.227,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.83→52.93.78.128,10.0.1.83,52.93.78.128,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.146.179.54,10.0.1.84,52.146.179.54,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.158.75.62,10.0.1.84,52.158.75.62,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.176.94.211,10.0.1.84,52.176.94.211,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.32.188.192,10.0.1.84,52.32.188.192,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.43.33.26,10.0.1.84,52.43.33.26,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.62.161.110,10.0.1.84,52.62.161.110,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.84→52.92.5.8,10.0.1.84,52.92.5.8,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.85→52.10.55.130,10.0.1.85,52.10.55.130,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.85→52.21.162.44,10.0.1.85,52.21.162.44,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.85→52.46.218.32,10.0.1.85,52.46.218.32,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.85→52.49.47.194,10.0.1.85,52.49.47.194,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.85→52.59.192.87,10.0.1.85,52.59.192.87,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.85→52.98.120.54,10.0.1.85,52.98.120.54,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.86→52.160.85.188,10.0.1.86,52.160.85.188,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.86→52.227.82.31,10.0.1.86,52.227.82.31,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.86→52.34.104.238,10.0.1.86,52.34.104.238,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.154.51.29,10.0.1.87,52.154.51.29,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.159.90.10,10.0.1.87,52.159.90.10,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.169.198.16,10.0.1.87,52.169.198.16,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.216.254.66,10.0.1.87,52.216.254.66,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.235.58.175,10.0.1.87,52.235.58.175,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.43.33.26,10.0.1.87,52.43.33.26,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.67.46.173,10.0.1.87,52.67.46.173,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.87→52.82.73.198,10.0.1.87,52.82.73.198,10,0.0,0.0,0,1.1376,0.0,0.0,False,0.0,False
10.0.1.88→52.1.72.72,10.0.1.88,52.1.72.72,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.10.55.130,10.0.1.88,52.10.55.130,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.117.49.45,10.0.1.88,52.117.49.45,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.125.177.168,10.0.1.88,52.125.177.168,10,0.0,0.0,0,0.9269,0.0,0.0,False,0.0,False
10.0.1.88→52.156.105.203,10.0.1.88,52.156.105.203,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.169.198.16,10.0.1.88,52.169.198.16,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.210.80.58,10.0.1.88,52.210.80.58,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.3.1.64,10.0.1.88,52.3.1.64,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.45.97.168,10.0.1.88,52.45.97.168,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.62.117.113,10.0.1.88,52.62.117.113,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.68.177.170,10.0.1.88,52.68.177.170,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.73.224.227,10.0.1.88,52.73.224.227,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.77.82.17,10.0.1.88,52.77.82.17,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.82.73.198,10.0.1.88,52.82.73.198,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.88→52.95.236.200,10.0.1.88,52.95.236.200,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.128.244.174,10.0.1.89,52.128.244.174,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.160.85.188,10.0.1.89,52.160.85.188,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.163.173.65,10.0.1.89,52.163.173.65,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.185.82.221,10.0.1.89,52.185.82.221,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.201.72.99,10.0.1.89,52.201.72.99,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.214.107.150,10.0.1.89,52.214.107.150,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.235.117.1,10.0.1.89,52.235.117.1,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.43.170.188,10.0.1.89,52.43.170.188,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.67.176.79,10.0.1.89,52.67.176.79,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.74.193.127,10.0.1.89,52.74.193.127,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.82.59.7,10.0.1.89,52.82.59.7,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.89→52.82.73.198,10.0.1.89,52.82.73.198,13,0.0,0.0,0,0.8963,0.0,0.0,False,0.0,False
10.0.1.9→52.121.235.85,10.0.1.9,52.121.235.85,12,0.0,0.0,0,0.8294,0.0,0.0,False,0.0,False
10.0.1.9→52.160.200.17,10.0.1.9,52.160.200.17,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.9→52.222.87.127,10.0.1.9,52.222.87.127,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.9→52.29.3.76,10.0.1.9,52.29.3.76,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.9→52.43.33.26,10.0.1.9,52.43.33.26,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.9→52.71.2.187,10.0.1.9,52.71.2.187,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.9→52.73.224.227,10.0.1.9,52.73.224.227,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.117.73.22,10.0.1.90,52.117.73.22,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.201.81.222,10.0.1.90,52.201.81.222,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.220.176.136,10.0.1.90,52.220.176.136,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.221.39.114,10.0.1.90,52.221.39.114,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.227.82.31,10.0.1.90,52.227.82.31,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.236.48.89,10.0.1.90,52.236.48.89,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.90→52.98.120.54,10.0.1.90,52.98.120.54,12,0.0,0.0,0,0.8534,0.0,0.0,False,0.0,False
10.0.1.91→52.1.72.72,10.0.1.91,52.1.72.72,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.91→52.201.81.222,10.0.1.91,52.201.81.222,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.91→52.241.123.10,10.0.1.91,52.241.123.10,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.91→52.31.1.167,10.0.1.91,52.31.1.167,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.91→52.71.3.212,10.0.1.91,52.71.3.212,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.10.55.130,10.0.1.92,52.10.55.130,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.153.75.156,10.0.1.92,52.153.75.156,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.18.241.144,10.0.1.92,52.18.241.144,13,0.0,0.0,0,1.1523,0.0,0.0,False,0.0,False
10.0.1.92→52.21.162.44,10.0.1.92,52.21.162.44,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.224.115.122,10.0.1.92,52.224.115.122,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.230.214.105,10.0.1.92,52.230.214.105,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.32.245.196,10.0.1.92,52.32.245.196,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.92→52.36.7.21,10.0.1.92,52.36.7.21,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.1.72.72,10.0.1.93,52.1.72.72,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.133.65.155,10.0.1.93,52.133.65.155,11,0.0,0.0,0,0.9876,0.0,0.0,False,0.0,False
10.0.1.93→52.177.52.176,10.0.1.93,52.177.52.176,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.192.221.104,10.0.1.93,52.192.221.104,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.196.32.13,10.0.1.93,52.196.32.13,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.207.69.39,10.0.1.93,52.207.69.39,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.38.211.174,10.0.1.93,52.38.211.174,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.39.184.95,10.0.1.93,52.39.184.95,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.93→52.94.90.56,10.0.1.93,52.94.90.56,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.117.49.45,10.0.1.94,52.117.49.45,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.123.82.136,10.0.1.94,52.123.82.136,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.15.127.110,10.0.1.94,52.15.127.110,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.156.105.203,10.0.1.94,52.156.105.203,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.163.245.96,10.0.1.94,52.163.245.96,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.167.244.25,10.0.1.94,52.167.244.25,10,0.0,0.0,0,0.6732,0.0,0.0,False,0.0,False
10.0.1.94→52.188.223.168,10.0.1.94,52.188.223.168,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.220.160.138,10.0.1.94,52.220.160.138,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.239.190.50,10.0.1.94,52.239.190.50,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.29.3.76,10.0.1.94,52.29.3.76,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.94→52.67.61.32,10.0.1.94,52.67.61.32,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.101.146.63,10.0.1.95,52.101.146.63,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.117.49.45,10.0.1.95,52.117.49.45,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.146.84.103,10.0.1.95,52.146.84.103,12,0.0,0.0,0,0.7176,0.0,0.0,False,0.0,False
10.0.1.95→52.159.90.10,10.0.1.95,52.159.90.10,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.167.244.25,10.0.1.95,52.167.244.25,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.176.94.211,10.0.1.95,52.176.94.211,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.195.208.14,10.0.1.95,52.195.208.14,12,0.0,0.0,0,0.717,0.0,0.0,False,0.0,False
10.0.1.95→52.225.14.219,10.0.1.95,52.225.14.219,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.95→52.250.188.94,10.0.1.95,52.250.188.94,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.158.10.202,10.0.1.96,52.158.10.202,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.160.85.188,10.0.1.96,52.160.85.188,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.176.163.85,10.0.1.96,52.176.163.85,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.208.131.213,10.0.1.96,52.208.131.213,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.221.39.114,10.0.1.96,52.221.39.114,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.228.185.53,10.0.1.96,52.228.185.53,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.240.188.130,10.0.1.96,52.240.188.130,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.43.33.26,10.0.1.96,52.43.33.26,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.59.192.87,10.0.1.96,52.59.192.87,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.62.117.113,10.0.1.96,52.62.117.113,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.64.251.121,10.0.1.96,52.64.251.121,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.73.192.243,10.0.1.96,52.73.192.243,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.96→52.94.90.56,10.0.1.96,52.94.90.56,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.97→52.154.209.186,10.0.1.97,52.154.209.186,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.97→52.180.116.96,10.0.1.97,52.180.116.96,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.97→52.252.240.238,10.0.1.97,52.252.240.238,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.97→52.253.119.40,10.0.1.97,52.253.119.40,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.97→52.43.87.64,10.0.1.97,52.43.87.64,11,0.0,0.0,0,0.7228,0.0,0.0,False,0.0,False
10.0.1.97→52.45.97.168,10.0.1.97,52.45.97.168,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.97→52.62.161.110,10.0.1.97,52.62.161.110,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.98→52.158.75.62,10.0.1.98,52.158.75.62,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.98→52.43.33.26,10.0.1.98,52.43.33.26,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.98→52.48.103.109,10.0.1.98,52.48.103.109,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.98→52.75.141.226,10.0.1.98,52.75.141.226,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.99→52.143.146.240,10.0.1.99,52.143.146.240,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.99→52.148.111.138,10.0.1.99,52.148.111.138,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.99→52.176.94.211,10.0.1.99,52.176.94.211,12,0.0,0.0,0,1.0566,0.0,0.0,False,0.0,False
10.0.1.99→52.19.247.51,10.0.1.99,52.19.247.51,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.99→52.67.176.79,10.0.1.99,52.67.176.79,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.124.197.123,10.0.2.1,52.124.197.123,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.153.75.156,10.0.2.1,52.153.75.156,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.157.153.194,10.0.2.1,52.157.153.194,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.180.116.96,10.0.2.1,52.180.116.96,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.208.131.213,10.0.2.1,52.208.131.213,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.219.23.155,10.0.2.1,52.219.23.155,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.227.96.208,10.0.2.1,52.227.96.208,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.30.193.176,10.0.2.1,52.30.193.176,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.60.11.135,10.0.2.1,52.60.11.135,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.74.193.127,10.0.2.1,52.74.193.127,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.82.59.7,10.0.2.1,52.82.59.7,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.1→52.92.5.8,10.0.2.1,52.92.5.8,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.10→52.147.198.242,10.0.2.10,52.147.198.242,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.10→52.250.188.94,10.0.2.10,52.250.188.94,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.2.10→52.32.245.196,10.0.2.10,52.32.245.196,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
